codigo_region,region,codigo_comuna,comuna,poblacion_2024,hogares_2024,viviendas_2024,hombres_2024,mujeres_2024,edad_0_14,edad_15_29,edad_30_44,edad_45_64,edad_65_mas,promedio_personas_hogar,viviendas_por_hogar,macrozona_rm,viviendas_particulares_ocupadas,viviendas_particulares_desocupadas,viviendas_colectivas,personas_por_vivienda,porcentaje_mujeres,porcentaje_hombres,porcentaje_adultos_mayores,porcentaje_menores_15,comuna_norm
1,Tarapacá,1101,Iquique,199587,71344,76870,98413,101174,37595,42520,50456,44788,24228,2.7975,1.0775,,68763,8107,0,2.5964,50.6917,49.3083,12.1391,18.8364,IQUIQUE
1,Tarapacá,1107,Alto Hospicio,142086,42399,46807,70649,71437,36164,37410,34223,26583,7706,3.3512,1.104,,43731,3076,0,3.0356,50.2773,49.7227,5.4235,25.4522,ALTO HOSPICIO
11,Aysén del General Carlos Ibáñez del Campo,11101,Coyhaique,57823,22543,28073,28170,29653,11220,11122,13986,14303,7192,2.565,1.2453,,23506,4567,0,2.0597,51.2824,48.7176,12.438,19.404,COYHAIQUE
11,Aysén del General Carlos Ibáñez del Campo,11102,Lago Verde,779,376,724,427,352,0,0,0,0,0,2.0718,1.9255,,411,313,0,1.076,45.1861,54.8139,0.0,0.0,LAGO VERDE
11,Aysén del General Carlos Ibáñez del Campo,11201,Aysen,23170,9126,11105,11522,11648,4459,4533,5633,5799,2746,2.5389,1.2169,,9827,1278,0,2.0864,50.2719,49.7281,11.8515,19.2447,AYSEN
11,Aysén del General Carlos Ibáñez del Campo,11202,Cisnes,5137,2183,3437,2598,2539,0,0,0,0,0,2.3532,1.5744,,2534,903,0,1.4946,49.4257,50.5743,0.0,0.0,CISNES
11,Aysén del General Carlos Ibáñez del Campo,11203,Guaitecas,1598,609,816,857,741,0,0,0,0,0,2.624,1.3399,,605,211,0,1.9583,46.3705,53.6295,0.0,0.0,GUAITECAS
11,Aysén del General Carlos Ibáñez del Campo,11301,Cochrane,3458,1469,2126,1779,1679,0,0,0,0,0,2.354,1.4472,,1521,605,0,1.6265,48.5541,51.4459,0.0,0.0,COCHRANE
11,Aysén del General Carlos Ibáñez del Campo,11302,O'Higgins,647,292,403,331,316,0,0,0,0,0,2.2158,1.3801,,296,107,0,1.6055,48.8408,51.1592,0.0,0.0,O'HIGGINS
11,Aysén del General Carlos Ibáñez del Campo,11303,Tortel,505,234,395,269,236,0,0,0,0,0,2.1581,1.688,,244,151,0,1.2785,46.7327,53.2673,0.0,0.0,TORTEL
11,Aysén del General Carlos Ibáñez del Campo,11401,Chile Chico,4905,2114,3108,2478,2427,0,0,0,0,0,2.3202,1.4702,,2364,744,0,1.5782,49.4801,50.5199,0.0,0.0,CHILE CHICO
11,Aysén del General Carlos Ibáñez del Campo,11402,Rio Ibanez,2723,1239,2242,1410,1313,0,0,0,0,0,2.1977,1.8095,,1302,940,0,1.2145,48.2189,51.7811,0.0,0.0,RIO IBANEZ
12,Magallanes y de la Antártica Chilena,12101,Punta Arenas,132363,49779,59334,65028,67335,21733,26158,31108,33691,19673,2.659,1.1919,,52991,6343,0,2.2308,50.8715,49.1285,14.8629,16.4192,PUNTA ARENAS
12,Magallanes y de la Antártica Chilena,12102,Laguna Blanca,269,101,290,187,82,0,0,0,0,0,2.6634,2.8713,,102,188,0,0.9276,30.4833,69.5167,0.0,0.0,LAGUNA BLANCA
12,Magallanes y de la Antártica Chilena,12103,Rio Verde,102,63,188,72,30,0,0,0,0,0,1.619,2.9841,,64,124,0,0.5426,29.4118,70.5882,0.0,0.0,RIO VERDE
12,Magallanes y de la Antártica Chilena,12104,San Gregorio,241,113,444,151,90,0,0,0,0,0,2.1327,3.9292,,114,330,0,0.5428,37.3444,62.6556,0.0,0.0,SAN GREGORIO
12,Magallanes y de la Antártica Chilena,12201,Cabo De Hornos,1750,622,780,881,869,0,0,0,0,0,2.8135,1.254,,619,161,0,2.2436,49.6571,50.3429,0.0,0.0,CABO DE HORNOS
12,Magallanes y de la Antártica Chilena,12202,Antartica,60,4,4,56,4,0,0,0,0,0,15.0,1.0,,0,4,0,15.0,6.6667,93.3333,0.0,0.0,ANTARTICA
12,Magallanes y de la Antártica Chilena,12301,Porvenir,6809,2781,3551,3592,3217,1301,1361,1764,1594,789,2.4484,1.2769,,2823,728,0,1.9175,47.2463,52.7537,11.5876,19.1071,PORVENIR
12,Magallanes y de la Antártica Chilena,12302,Primavera,431,181,414,237,194,0,0,0,0,0,2.3812,2.2873,,179,235,0,1.0411,45.0116,54.9884,0.0,0.0,PRIMAVERA
12,Magallanes y de la Antártica Chilena,12303,Timaukel,157,63,214,95,62,0,0,0,0,0,2.4921,3.3968,,65,149,0,0.7336,39.4904,60.5096,0.0,0.0,TIMAUKEL
12,Magallanes y de la Antártica Chilena,12401,Natales,24152,9536,11251,12064,12088,4124,4653,6178,5730,3467,2.5327,1.1798,,10073,1178,0,2.1467,50.0497,49.9503,14.3549,17.0752,NATALES
12,Magallanes y de la Antártica Chilena,12402,Torres Del Paine,203,101,304,118,85,0,0,0,0,0,2.0099,3.0099,,100,204,0,0.6678,41.8719,58.1281,0.0,0.0,TORRES DEL PAINE
13,Metropolitana de Santiago,13101,Santiago,438856,208348,241062,223237,215619,55702,107884,151332,88501,35437,2.1064,1.157,Centro,214041,27021,0,1.8205,49.1321,50.8679,8.0749,12.6925,SANTIAGO
13,Metropolitana de Santiago,13102,Cerrillos,85041,28279,31728,41216,43825,15862,18466,19512,20142,11059,3.0072,1.122,Poniente,29576,2152,0,2.6803,51.534,48.466,13.0043,18.6522,CERRILLOS
13,Metropolitana de Santiago,13103,Cerro Navia,127250,42018,40235,62329,64921,22366,27548,26255,32348,18733,3.0285,0.9576,Poniente,39520,715,0,3.1627,51.0185,48.9815,14.7214,17.5764,CERRO NAVIA
