codigo_region,region,codigo_comuna,comuna,poblacion_2024,hogares_2024,viviendas_2024,hombres_2024,mujeres_2024,edad_0_14,edad_15_29,edad_30_44,edad_45_64,edad_65_mas,promedio_personas_hogar,viviendas_por_hogar,macrozona_rm,viviendas_particulares_ocupadas,viviendas_particulares_desocupadas,viviendas_colectivas,personas_por_vivienda,porcentaje_mujeres,porcentaje_hombres,porcentaje_adultos_mayores,porcentaje_menores_15,comuna_norm,reclamos_totales,tickets_unicos,clientes_unicos,direcciones_unicas,facturacion_total,prioridad_alta,prioridad_media,prioridad_baja,sin_prioridad,visitas_completadas,visitas_pendientes,visitas_no_realizadas,km_total,traslado_total,costo_total_estimado,primera_fecha_visita,ultima_fecha_visita,clientes_reincidentes,direcciones_reincidentes,promedio_por_reclamo,porcentaje_prioridad_alta,indice_reincidencia_comunal,reclamos_por_100k_habitantes,reclamos_por_10k_hogares,facturacion_por_100k_habitantes,facturacion_por_10k_hogares,reclamos_por_1000_viviendas,porcentaje_participacion_reclamos_rm,porcentaje_participacion_facturacion_rm,densidad_reclamos_hogar,cobertura_poblacional_comuna,criticidad_score,riesgo_operativo_score,intensidad_territorial_score,criticidad_nivel,riesgo_operativo_nivel,intensidad_territorial_nivel,ranking_volumen_reclamos,ranking_intensidad_100k,ranking_facturacion,ranking_prioridad_alta,ranking_criticidad,ranking_reincidencia,ranking_cantidad_label,ranking_intensidad_label,ranking_riesgo_label,lectura_usuario,motivo_criticidad,recomendacion_operativa,etiqueta_mapa
13,Metropolitana de Santiago,13111,La Granja,112022,37274,36842,54758,57264,18992,23696,23580,27473,18281,3.0054,0.9884,Sur,36079,763,0,3.0406,51.1185,48.8815,16.3191,16.9538,LA GRANJA,12.0,11.0,11.0,11.0,241500.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241500.0,2026-01-08,2026-05-28,1.0,1.0,20125.0,50.0,16.666666666666664,10.71218153576976,3.219402264312926,215582.65340736642,64790.470569297635,0.3257152163291895,2.4742268041237114,2.5299879524383218,0.0003219402264312926,1.513659240338231,46.24,46.24,46.04,Medio,Medio,Media,13,5,12,13,9,10,#13 en cantidad,#5 en intensidad,#9 en riesgo,La Granja presenta carga territorial controlada para el periodo seleccionado.,No concentra niveles críticos frente al resto de comunas RM.,"Monitorear, pero no requiere acción urgente.",La Granja: 12 reclamos · Medio
13,Metropolitana de Santiago,13112,La Pintana,175421,54319,53379,85240,90181,35740,40206,37097,40077,22301,3.2295,0.9827,Sur,52089,1290,0,3.2863,51.4083,48.5917,12.7128,20.3738,LA PINTANA,12.0,11.0,11.0,10.0,241500.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241500.0,2026-01-08,2026-05-25,1.0,2.0,20125.0,75.0,25.0,6.840686120817917,2.209171744693385,137668.8081814606,44459.581361954384,0.22480750857078627,2.4742268041237114,2.5299879524383218,0.00022091717446933853,2.370316702070779,53.13,53.13,29.4,Alto,Alto,Media,13,20,12,2,5,3,#13 en cantidad,#20 en intensidad,#5 en riesgo,La Pintana requiere atención prioritaria por su riesgo operativo y concentración de señales.,"Alta combinación de intensidad territorial, prioridad alta, reincidencia o facturación.",Priorizar revisión y seguimiento en esta comuna.,La Pintana: 12 reclamos · Alto
13,Metropolitana de Santiago,13113,La Reina,89870,30645,31667,42260,47610,14657,17150,18179,23788,16096,2.9326,1.0333,Oriente,30552,1115,0,2.838,52.9765,47.0235,17.9103,16.3091,LA REINA,6.0,6.0,6.0,6.0,126000.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,126000.0,2026-01-09,2026-05-15,0.0,0.0,21000.0,50.0,0.0,6.67631022588183,1.9579050416054822,140202.5147435184,41116.00587371513,0.1894716897716866,1.2371134020618557,1.3199937143156462,0.0001957905041605482,1.214337861573591,27.09,27.09,28.7,Medio,Medio,Media,27,21,27,13,27,0,#27 en cantidad,#21 en intensidad,#27 en riesgo,La Reina presenta carga territorial controlada para el periodo seleccionado.,No concentra niveles críticos frente al resto de comunas RM.,"Monitorear, pero no requiere acción urgente.",La Reina: 6 reclamos · Medio
13,Metropolitana de Santiago,13114,Las Condes,296134,116322,129083,137984,158150,41831,61082,68540,70998,53683,2.5458,1.1097,Oriente,121263,7820,0,2.2941,53.4049,46.5951,18.1279,14.1257,LAS CONDES,12.0,12.0,11.0,11.0,227000.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227000.0,2026-01-15,2026-05-26,1.0,1.0,18916.666666666668,41.66666666666667,16.666666666666664,4.052219603287701,1.0316191262186,76654.48749552567,19514.795137635185,0.0929634421263838,2.4742268041237114,2.3780839138861243,0.00010316191262186001,4.001410129066805,33.51,33.51,17.42,Medio,Medio,Baja,13,30,16,24,21,10,#13 en cantidad,#30 en intensidad,#21 en riesgo,Las Condes presenta carga territorial controlada para el periodo seleccionado.,No concentra niveles críticos frente al resto de comunas RM.,"Monitorear, pero no requiere acción urgente.",Las Condes: 12 reclamos · Medio
13,Metropolitana de Santiago,13115,Lo Barnechea,112620,32513,36425,53609,59011,22642,26333,20521,30299,12825,3.4638,1.1203,Oriente,33535,2890,0,3.0918,52.3983,47.6017,11.3879,20.1048,LO BARNECHEA,2.0,2.0,2.0,2.0,21000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,2026-01-02,2026-03-13,0.0,0.0,10500.0,50.0,0.0,1.775883502042266,0.6151385599606312,18646.776771443794,6458.954879586627,0.05490734385724091,0.4123711340206186,0.21999895238594103,6.151385599606311e-05,1.5217395123001873,17.66,17.66,7.63,Bajo,Bajo,Baja,34,35,36,13,33,0,#34 en cantidad,#35 en intensidad,#33 en riesgo,Lo Barnechea presenta carga territorial controlada para el periodo seleccionado.,No concentra niveles críticos frente al resto de comunas RM.,"Monitorear, pero no requiere acción urgente.",Lo Barnechea: 2 reclamos · Bajo
13,Metropolitana de Santiago,13116,Lo Espejo,87295,27529,27488,43095,44200,15405,18379,17970,21940,13601,3.171,0.9985,Sur,26649,839,0,3.1757,50.6329,49.3671,15.5805,17.6471,LO ESPEJO,5.0,5.0,5.0,5.0,101000.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101000.0,2026-01-22,2026-05-14,0.0,0.0,20200.0,20.0,0.0,5.727704908643107,1.8162664826183297,115699.63915459077,36688.58294889026,0.18189755529685683,1.0309278350515463,1.0580901995704783,0.00018162664826183297,1.1795440483594817,16.42,16.42,24.62,Bajo,Bajo,Baja,31,25,31,34,35,0,#31 en cantidad,#25 en intensidad,#35 en riesgo,Lo Espejo presenta carga territorial controlada para el periodo seleccionado.,No concentra niveles críticos frente al resto de comunas RM.,"Monitorear, pero no requiere acción urgente.",Lo Espejo: 5 reclamos · Bajo
13,Metropolitana de Santiago,13117,Lo Prado,91290,31971,31111,44300,46990,14324,19227,18538,24107,15094,2.8554,0.9731,Poniente,30214,897,0,2.9343,51.4733,48.5267,16.5341,15.6907,LO PRADO,16.0,15.0,15.0,15.0,286000.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286000.0,2026-01-12,2026-05-11,1.0,1.0,17875.0,18.75,12.5,17.52656369810494,5.004535360170154,313287.3261036258,89456.0695630415,0.514287551026968,3.2989690721649487,2.996176208684721,0.0005004535360170154,1.2335251294431193,45.54,45.54,75.33,Medio,Medio,Crítica,11,2,11,35,11,16,#11 en cantidad,#2 en intensidad,#11 en riesgo,Lo Prado destaca porque sus reclamos pesan más considerando el tamaño de la comuna.,La intensidad territorial está por sobre el resto de comunas RM.,Monitorear y revisar capacidad operativa local.,Lo Prado: 16 reclamos · Medio
13,Metropolitana de Santiago,13118,Macul,123800,47638,50777,58479,65321,17981,24778,31612,29503,19926,2.5988,1.0659,Oriente,48631,2146,0,2.4381,52.7633,47.2367,16.0953,14.5242,MACUL,10.0,9.0,9.0,9.0,210000.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210000.0,2026-01-08,2026-05-25,1.0,1.0,21000.0,40.0,20.0,8.077544426494347,2.0991645325160584,169628.43295638126,44082.455182837235,0.1969395592492664,2.0618556701030926,2.19998952385941,0.00020991645325160586,1.6728054663715428,40.92,40.92,34.72,Medio,Medio,Media,17,14,17,27,15,6,#17 en cantidad,#14 en intensidad,#15 en riesgo,Macul presenta carga territorial controlada para el periodo seleccionado.,No concentra niveles críticos frente al resto de comunas RM.,"Monitorear, pero no requiere acción urgente.",Macul: 10 reclamos · Medio
13,Metropolitana de Santiago,13119,Maipú,503635,167650,169599,240903,262732,80972,109788,107847,133901,71127,3.0041,1.0116,Poniente,165847,3752,0,2.9696,52.1671,47.8329,14.1227,16.0775,MAIPU,28.0,28.0,28.0,28.0,559000.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559000.0,2026-01-05,2026-05-22,0.0,0.0,19964.285714285714,50.0,0.0,5.559581840023033,1.6701461377870566,110993.08030617412,33343.27467939159,0.16509531306198738,5.77319587628866,5.856162589701954,0.00016701461377870565,6.805196939063264,33.85,33.85,23.9,Medio,Medio,Baja,5,26,5,13,20,0,#5 en cantidad,#26 en intensidad,#20 en riesgo,Maipú presenta carga territorial controlada para el periodo seleccionado.,No concentra niveles críticos frente al resto de comunas RM.,"Monitorear, pero no requiere acción urgente.",Maipú: 28 reclamos · Medio
13,Metropolitana de Santiago,13120,Ñuñoa,241467,108724,121593,111613,129854,31138,44354,76758,53437,35780,2.2209,1.1184,Oriente,113378,8215,0,1.9859,53.7771,46.2229,14.8178,12.8953,NUNOA,6.0,6.0,5.0,6.0,122000.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122000.0,2026-03-11,2026-05-14,1.0,0.0,20333.333333333332,66.66666666666666,16.666666666666664,2.484811589161252,0.551856075935396,50524.50231294545,11221.07354401972,0.049344945843921934,1.2371134020618557,1.2780891519564193,5.51856075935396e-05,3.2627408525713846,36.4,36.4,10.68,Medio,Medio,Baja,27,33,29,4,17,10,#27 en cantidad,#33 en intensidad,#17 en riesgo,Ñuñoa presenta carga territorial controlada para el periodo seleccionado.,No concentra niveles críticos frente al resto de comunas RM.,"Monitorear, pero no requiere acción urgente.",Ñuñoa: 6 reclamos · Medio
