codigo_region,region,codigo_comuna,comuna,poblacion_2024,hogares_2024,viviendas_2024,hombres_2024,mujeres_2024,edad_0_14,edad_15_29,edad_30_44,edad_45_64,edad_65_mas,promedio_personas_hogar,viviendas_por_hogar,macrozona_rm,viviendas_particulares_ocupadas,viviendas_particulares_desocupadas,viviendas_colectivas,personas_por_vivienda,porcentaje_mujeres,porcentaje_hombres,porcentaje_adultos_mayores,porcentaje_menores_15,comuna_norm
13,Metropolitana de Santiago,13128,Renca,143622,46588,46640,69985,73637,27703,31893,31074,34564,18388,3.0828,1.0011,Norte,45192,1448,0,3.0794,51.2714,48.7286,12.8031,19.2888,RENCA
13,Metropolitana de Santiago,13129,San Joaquín,95602,33568,33947,45983,49619,14852,20362,21388,23207,15793,2.848,1.0113,Centro,32567,1380,0,2.8162,51.9016,48.0984,16.5195,15.5352,SAN JOAQUIN
13,Metropolitana de Santiago,13130,San Miguel,150829,60402,65936,71229,79600,23562,31197,47386,31361,17323,2.4971,1.0916,Centro,62266,3670,0,2.2875,52.775,47.225,11.4852,15.6217,SAN MIGUEL
13,Metropolitana de Santiago,13131,San Ramón,76002,25014,23863,37417,38585,12491,16254,14746,19780,12731,3.0384,0.954,Centro,23204,659,0,3.1849,50.7684,49.2316,16.7509,16.4351,SAN RAMON
13,Metropolitana de Santiago,13132,Vitacura,86420,31142,34551,39914,46506,15015,16164,17897,20717,16627,2.775,1.1095,Oriente,32658,1893,0,2.5012,53.8139,46.1861,19.2398,17.3745,VITACURA
13,Metropolitana de Santiago,13201,Puente Alto,568086,183615,191064,273928,294158,104301,126320,126232,144627,66606,3.0939,1.0406,Sur,185864,5200,0,2.9733,51.7805,48.2195,11.7246,18.3601,PUENTE ALTO
13,Metropolitana de Santiago,13202,Pirque,29060,9195,10193,14399,14661,5449,5792,6107,7718,3994,3.1604,1.1085,Sur,9677,516,0,2.851,50.4508,49.5492,13.744,18.7509,PIRQUE
13,Metropolitana de Santiago,13203,San José de Maipo,17441,6383,8032,8674,8767,2932,3452,3680,4616,2761,2.7324,1.2583,Sur,6766,1266,0,2.1714,50.2666,49.7334,15.8305,16.811,SAN JOSE DE MAIPO
13,Metropolitana de Santiago,13301,Colina,173293,51045,54882,86925,86368,41206,36111,43036,39694,13246,3.3949,1.0752,Norte,52278,2604,0,3.1576,49.8393,50.1607,7.6437,23.7782,COLINA
13,Metropolitana de Santiago,13302,Lampa,145160,45519,50344,72328,72832,35062,30874,39653,29830,9741,3.189,1.106,Norte,47152,3192,0,2.8834,50.1736,49.8264,6.7105,24.154,LAMPA
13,Metropolitana de Santiago,13303,Tiltil,19742,6592,8236,9940,9802,3901,4064,4397,4673,2707,2.9948,1.2494,Norte,7010,1226,0,2.397,49.6505,50.3495,13.7119,19.7599,TILTIL
